omega,x,y,z
0.9,-0.1031,0.5953,-0.1087
0.9,-0.0775,0.6406,-0.1279
0.9,-0.0518,0.6858,-0.1479
0.9,-0.026,0.7309,-0.1687
0.9,0.,0.776,-0.1904
0.9,0.,0.776,-0.1904
0.9,0.026,0.7309,-0.1687
0.9,0.0518,0.6858,-0.1479
0.9,0.0775,0.6406,-0.1279
0.9,0.1031,0.5953,-0.1087
0.9,0.1286,0.55,-0.0904
0.9,0.1541,0.5046,-0.073
0.9,0.1795,0.4593,-0.0565
0.9,0.2048,0.4139,-0.0409
0.9,0.2302,0.3684,-0.0262
0.9,0.2556,0.323,-0.0123
0.9,0.281,0.2777,0.0006
0.9,0.3064,0.2323,0.0126
0.9,0.3319,0.187,0.0238
0.9,0.3576,0.1417,0.0341
0.9,0.3833,0.0965,0.0435
0.9,0.4091,0.0514,0.0521
0.9,0.4351,0.0063,0.0599
0.9,0.4613,-0.0386,0.0668
0.9,0.4876,-0.0834,0.073
0.9,0.5141,-0.1282,0.0784
0.9,0.5409,-0.1728,0.0831
0.9,0.5678,-0.2173,0.087
0.9,0.595,-0.2617,0.0903
0.9,0.6224,-0.3059,0.0929
0.9,0.65,-0.35,0.0949
